timestamp,event,user,ip
2025-10-15 00:00:57,upload,user025,192.168.0.138
2025-10-15 00:02:59,view,user111,10.0.0.37
2025-10-15 00:04:22,logout,user047,10.0.0.84
2025-10-15 00:04:31,view,user148,10.0.0.11
2025-10-15 00:04:46,view,user118,192.168.0.28
2025-10-15 00:05:48,download,user092,192.168.1.74
2025-10-15 00:10:49,upload,user125,192.168.0.160
2025-10-15 00:14:14,login,user044,10.0.0.34
2025-10-15 00:15:15,login,user018,192.168.0.157
2025-10-15 00:20:48,logout,user094,10.0.0.141
2025-10-15 00:29:45,login,user050,192.168.0.159
2025-10-15 00:32:03,view,user145,192.168.1.207
2025-10-15 00:34:39,logout,user116,10.0.0.243
2025-10-15 00:37:19,login,user038,192.168.1.133
2025-10-15 00:37:31,login,user021,172.16.0.53
2025-10-15 00:38:47,download,user150,192.168.0.140
2025-10-15 00:42:39,download,user047,192.168.0.160
2025-10-15 00:43:55,login,user102,192.168.1.134
2025-10-15 00:48:15,logout,user088,192.168.1.54
2025-10-15 00:51:05,logout,user042,172.16.0.21
2025-10-15 00:51:51,upload,user122,10.0.0.49
2025-10-15 00:52:14,view,user062,192.168.1.75
2025-10-15 00:57:28,view,user032,192.168.1.170
2025-10-15 00:57:47,download,user130,192.168.1.110
2025-10-15 01:13:14,login,user007,10.0.0.13
2025-10-15 01:17:13,logout,user104,192.168.0.100
2025-10-15 01:18:55,view,user018,192.168.0.104
2025-10-15 01:32:06,upload,user098,192.168.0.206
2025-10-15 01:38:35,file_access,user123,192.168.0.89
2025-10-15 01:39:27,login,user028,192.168.1.54
2025-10-15 01:40:11,logout,user060,192.168.1.237
2025-10-15 01:45:56,login,user113,10.0.0.173
2025-10-15 01:55:45,login,alice,192.168.1.51
2025-10-15 01:58:19,login,user086,192.168.1.62
2025-10-15 01:59:25,logout,user035,192.168.0.140
2025-10-15 02:27:28,logout,user108,192.168.0.59
2025-10-15 02:31:21,logout,user095,192.168.0.144
2025-10-15 02:31:48,login,user018,192.168.0.242
2025-10-15 02:43:33,download,user011,192.168.1.182
2025-10-15 02:45:59,download,user096,10.0.0.141
2025-10-15 02:46:10,login,user068,10.0.0.253
2025-10-15 03:01:47,login,user014,10.0.0.205
2025-10-15 03:06:10,login,user007,192.168.0.83
2025-10-15 03:53:43,logout,tim,192.168.0.179
2025-10-15 04:00:03,logout,user101,172.16.0.9
2025-10-15 04:00:04,download,user126,192.168.1.73
2025-10-15 04:00:29,login,user016,192.168.1.2
2025-10-15 04:02:47,download,user002,192.168.1.72
2025-10-15 04:05:15,logout,user005,192.168.1.104
2025-10-15 04:15:37,download,user022,192.168.1.65
2025-10-15 04:24:01,login,user064,192.168.0.69
2025-10-15 04:25:44,file_access,user029,10.0.0.211
2025-10-15 04:30:26,logout,user048,192.168.1.94
2025-10-15 04:31:49,login,user012,192.168.0.236
2025-10-15 04:50:20,view,user104,10.0.0.173
2025-10-15 05:00:44,logout,user027,192.168.0.6
2025-10-15 05:02:26,login,user008,172.16.0.185
2025-10-15 05:10:21,login,user044,192.168.0.17
2025-10-15 05:10:30,login,user113,192.168.0.69
2025-10-15 05:10:46,login,user038,192.168.0.236
2025-10-15 05:20:28,login,user118,10.0.0.92
2025-10-15 05:24:37,error,user091,192.168.0.221
2025-10-15 05:27:18,logout,user118,192.168.1.209
