timestamp_parsed,timestamp,event,user,ip,date,hour,minute,weekday,is_weekend,ip_clean,is_valid_ipv4,count_per_ip,unique_users_per_ip,events_per_ip_hour,secs_since_prev_event,secs_to_next_event,events_prev_10min,events_next_10min,is_peak_hour
2025-10-17 00:27:05+00:00,2025-10-17 00:27:05,logout,user123,10.0.0.1,2025-10-17,0,27,4,0,10.0.0.1,1,16,16,1,0.0,33617.0,0,0,0
2025-10-17 09:47:22+00:00,2025-10-17 09:47:22,login,user133,10.0.0.1,2025-10-17,9,47,4,0,10.0.0.1,1,16,16,1,33617.0,2310.0,0,0,1
2025-10-17 10:25:52+00:00,2025-10-17 10:25:52,login,user095,10.0.0.1,2025-10-17,10,25,4,0,10.0.0.1,1,16,16,1,2310.0,29680.0,0,0,1
2025-10-17 18:40:32+00:00,2025-10-17 18:40:32,login,user105,10.0.0.1,2025-10-17,18,40,4,0,10.0.0.1,1,16,16,3,29680.0,85989.0,0,0,0
2025-10-18 18:33:41+00:00,2025-10-18 18:33:41,upload,user067,10.0.0.1,2025-10-18,18,33,5,1,10.0.0.1,1,16,16,3,85989.0,947.0,0,0,0
2025-10-18 18:49:28+00:00,2025-10-18 18:49:28,login,user062,10.0.0.1,2025-10-18,18,49,5,1,10.0.0.1,1,16,16,3,947.0,39548.0,0,0,0
2025-10-19 05:48:36+00:00,2025-10-19 05:48:36,login,user009,10.0.0.1,2025-10-19,5,48,6,1,10.0.0.1,1,16,16,1,39548.0,11452.0,0,0,0
2025-10-19 08:59:28+00:00,2025-10-19 08:59:28,file_access,user006,10.0.0.1,2025-10-19,8,59,6,1,10.0.0.1,1,16,16,1,11452.0,13286.0,0,0,0
2025-10-19 12:40:54+00:00,2025-10-19 12:40:54,login,user042,10.0.0.1,2025-10-19,12,40,6,1,10.0.0.1,1,16,16,2,13286.0,28451.0,0,0,0
2025-10-19 20:35:05+00:00,2025-10-19 20:35:05,logout,user100,10.0.0.1,2025-10-19,20,35,6,1,10.0.0.1,1,16,16,1,28451.0,54483.0,0,0,0
2025-10-20 11:43:08+00:00,2025-10-20 11:43:08,admin,user047,10.0.0.1,2025-10-20,11,43,0,0,10.0.0.1,1,16,16,2,54483.0,1411.0,0,0,0
2025-10-20 12:06:39+00:00,2025-10-20 12:06:39,file_access,user064,10.0.0.1,2025-10-20,12,6,0,0,10.0.0.1,1,16,16,2,1411.0,7696.0,0,0,0
2025-10-20 14:14:55+00:00,2025-10-20 14:14:55,login,user149,10.0.0.1,2025-10-20,14,14,0,0,10.0.0.1,1,16,16,2,7696.0,75779.0,0,0,0
2025-10-21 11:17:54+00:00,2025-10-21 11:17:54,logout,user019,10.0.0.1,2025-10-21,11,17,1,0,10.0.0.1,1,16,16,2,75779.0,19254.0,0,0,0
2025-10-21 16:38:48+00:00,2025-10-21 16:38:48,download,user148,10.0.0.1,2025-10-21,16,38,1,0,10.0.0.1,1,16,16,1,19254.0,78852.0,0,0,0
2025-10-22 14:33:00+00:00,2025-10-22 14:33:00,login,user126,10.0.0.1,2025-10-22,14,33,2,0,10.0.0.1,1,16,16,2,78852.0,0.0,0,0,0
2025-10-15 07:15:15+00:00,2025-10-15 07:15:15,upload,user137,10.0.0.10,2025-10-15,7,15,2,0,10.0.0.10,1,12,12,2,0.0,16423.0,0,0,0
